corridor,date,load,n,dow,is_weekend,month,dom,lag1,lag7,roll7,roll14,corridor_cat
Bannerghata Road,2023-12-09,0.0,0.0,5,1,12,9,4.0,0.0,1.2857142857142858,1.5714285714285714,Bannerghata Road
Bannerghata Road,2023-12-10,2.0,2.0,6,1,12,10,0.0,0.0,1.2857142857142858,1.5714285714285714,Bannerghata Road
Bannerghata Road,2023-12-11,0.0,0.0,0,0,12,11,2.0,0.0,1.4285714285714286,1.6428571428571428,Bannerghata Road
Bannerghata Road,2023-12-12,0.0,0.0,1,0,12,12,0.0,2.0,1.7142857142857142,1.6428571428571428,Bannerghata Road
Bannerghata Road,2023-12-13,1.0,1.0,2,0,12,13,0.0,0.0,1.4285714285714286,1.5,Bannerghata Road
Bannerghata Road,2023-12-14,1.0,1.0,3,0,12,14,1.0,1.0,1.4285714285714286,1.3571428571428572,Bannerghata Road
Bannerghata Road,2023-12-15,31.0,31.0,4,0,12,15,1.0,4.0,1.4285714285714286,1.3571428571428572,Bannerghata Road
Bannerghata Road,2023-12-16,3.0,3.0,5,1,12,16,31.0,0.0,1.7142857142857142,1.5,Bannerghata Road
Bannerghata Road,2023-12-17,0.0,0.0,6,1,12,17,3.0,2.0,1.7142857142857142,1.5,Bannerghata Road
Bannerghata Road,2023-12-18,2.0,2.0,0,0,12,18,0.0,0.0,1.5714285714285714,1.5,Bannerghata Road
Bannerghata Road,2023-12-19,4.0,4.0,1,0,12,19,2.0,0.0,1.7142857142857142,1.7142857142857142,Bannerghata Road
Bannerghata Road,2023-12-20,0.0,0.0,2,0,12,20,4.0,1.0,2.0,1.7142857142857142,Bannerghata Road
Bannerghata Road,2023-12-21,0.0,0.0,3,0,12,21,0.0,1.0,2.0,1.7142857142857142,Bannerghata Road
Bannerghata Road,2023-12-22,1.0,1.0,4,0,12,22,0.0,31.0,2.0,1.7142857142857142,Bannerghata Road
Bannerghata Road,2023-12-23,1.0,1.0,5,1,12,23,1.0,3.0,1.5714285714285714,1.6428571428571428,Bannerghata Road
Bannerghata Road,2023-12-24,0.0,0.0,6,1,12,24,1.0,0.0,1.5714285714285714,1.6428571428571428,Bannerghata Road
Bannerghata Road,2023-12-25,1.0,1.0,0,0,12,25,0.0,2.0,1.5714285714285714,1.5714285714285714,Bannerghata Road
Bannerghata Road,2023-12-26,0.0,0.0,1,0,12,26,1.0,4.0,1.2857142857142858,1.5,Bannerghata Road
Bannerghata Road,2023-12-27,1.0,1.0,2,0,12,27,0.0,0.0,1.2857142857142858,1.6428571428571428,Bannerghata Road
Bannerghata Road,2023-12-28,3.0,3.0,3,0,12,28,1.0,0.0,1.0,1.5,Bannerghata Road
Bannerghata Road,2023-12-29,0.0,0.0,4,0,12,29,3.0,1.0,1.0,1.5,Bannerghata Road
Bannerghata Road,2023-12-30,2.0,2.0,5,1,12,30,0.0,1.0,1.0,1.2857142857142858,Bannerghata Road
Bannerghata Road,2023-12-31,0.0,0.0,6,1,12,31,2.0,0.0,1.1428571428571428,1.3571428571428572,Bannerghata Road
Bannerghata Road,2024-01-01,1.0,1.0,0,0,1,1,0.0,1.0,1.1428571428571428,1.3571428571428572,Bannerghata Road
Bannerghata Road,2024-01-02,0.0,0.0,1,0,1,2,1.0,0.0,1.2857142857142858,1.2857142857142858,Bannerghata Road
Bannerghata Road,2024-01-03,3.0,3.0,2,0,1,3,0.0,1.0,1.2857142857142858,1.2857142857142858,Bannerghata Road
Bannerghata Road,2024-01-04,0.0,0.0,3,0,1,4,3.0,3.0,1.5714285714285714,1.2857142857142858,Bannerghata Road
Bannerghata Road,2024-01-05,2.0,2.0,4,0,1,5,0.0,0.0,1.7142857142857142,1.3571428571428572,Bannerghata Road
Bannerghata Road,2024-01-06,1.0,1.0,5,1,1,6,2.0,2.0,1.7142857142857142,1.3571428571428572,Bannerghata Road
Bannerghata Road,2024-01-07,0.0,0.0,6,1,1,7,1.0,0.0,1.5714285714285714,1.3571428571428572,Bannerghata Road
Bannerghata Road,2024-01-08,0.0,0.0,0,0,1,8,0.0,1.0,1.7142857142857142,1.4285714285714286,Bannerghata Road
Bannerghata Road,2024-01-09,5.0,4.0,1,0,1,9,0.0,0.0,1.7142857142857142,1.5,Bannerghata Road
Bannerghata Road,2024-01-10,0.0,0.0,2,0,1,10,5.0,3.0,1.7142857142857142,1.5,Bannerghata Road
Bannerghata Road,2024-01-11,3.0,2.0,3,0,1,11,0.0,0.0,1.7142857142857142,1.6428571428571428,Bannerghata Road
Bannerghata Road,2024-01-12,0.0,0.0,4,0,1,12,3.0,2.0,1.5714285714285714,1.6428571428571428,Bannerghata Road
Bannerghata Road,2024-01-13,0.0,0.0,5,1,1,13,0.0,1.0,1.7142857142857142,1.7142857142857142,Bannerghata Road
Bannerghata Road,2024-01-14,1.0,1.0,6,1,1,14,0.0,0.0,1.7142857142857142,1.6428571428571428,Bannerghata Road
Bannerghata Road,2024-01-15,1.0,1.0,0,0,1,15,1.0,0.0,1.5714285714285714,1.6428571428571428,Bannerghata Road
Bannerghata Road,2024-01-16,1.0,1.0,1,0,1,16,1.0,5.0,1.7142857142857142,1.7142857142857142,Bannerghata Road
Bannerghata Road,2024-01-17,0.0,0.0,2,0,1,17,1.0,0.0,1.4285714285714286,1.5714285714285714,Bannerghata Road
Bannerghata Road,2024-01-18,0.0,0.0,3,0,1,18,0.0,3.0,1.7142857142857142,1.7142857142857142,Bannerghata Road
Bannerghata Road,2024-01-19,2.0,2.0,4,0,1,19,0.0,0.0,1.4285714285714286,1.5,Bannerghata Road
Bannerghata Road,2024-01-20,2.0,2.0,5,1,1,20,2.0,0.0,1.0,1.3571428571428572,Bannerghata Road
Bannerghata Road,2024-01-21,1.0,1.0,6,1,1,21,2.0,1.0,1.0,1.3571428571428572,Bannerghata Road
Bannerghata Road,2024-01-22,0.0,0.0,0,0,1,22,1.0,1.0,1.0,1.2857142857142858,Bannerghata Road
Bannerghata Road,2024-01-23,2.0,2.0,1,0,1,23,0.0,1.0,1.0,1.3571428571428572,Bannerghata Road
Bannerghata Road,2024-01-24,2.0,2.0,2,0,1,24,2.0,0.0,1.4285714285714286,1.4285714285714286,Bannerghata Road
Bannerghata Road,2024-01-25,2.0,2.0,3,0,1,25,2.0,0.0,0.8571428571428571,1.2857142857142858,Bannerghata Road
Bannerghata Road,2024-01-26,1.0,1.0,4,0,1,26,2.0,2.0,0.8571428571428571,1.1428571428571428,Bannerghata Road
Bannerghata Road,2024-01-27,0.0,0.0,5,1,1,27,1.0,2.0,0.8571428571428571,0.9285714285714286,Bannerghata Road
Bannerghata Road,2024-01-28,2.0,2.0,6,1,1,28,0.0,1.0,0.8571428571428571,0.9285714285714286,Bannerghata Road
Bannerghata Road,2024-01-29,1.0,1.0,0,0,1,29,2.0,0.0,0.8571428571428571,0.9285714285714286,Bannerghata Road
Bannerghata Road,2024-01-30,5.0,4.0,1,0,1,30,1.0,2.0,0.7142857142857143,0.8571428571428571,Bannerghata Road
Bannerghata Road,2024-01-31,2.0,2.0,2,0,1,31,5.0,2.0,0.5714285714285714,1.0,Bannerghata Road
Bannerghata Road,2024-02-01,1.0,1.0,3,0,2,1,2.0,2.0,0.8571428571428571,0.8571428571428571,Bannerghata Road
Bannerghata Road,2024-02-02,0.0,0.0,4,0,2,2,1.0,1.0,1.1428571428571428,1.0,Bannerghata Road
Bannerghata Road,2024-02-03,0.0,0.0,5,1,2,3,0.0,0.0,1.4285714285714286,1.1428571428571428,Bannerghata Road
Bannerghata Road,2024-02-04,0.0,0.0,6,1,2,4,0.0,2.0,1.4285714285714286,1.1428571428571428,Bannerghata Road
Bannerghata Road,2024-02-05,0.0,0.0,0,0,2,5,0.0,1.0,1.5714285714285714,1.2142857142857142,Bannerghata Road
Bannerghata Road,2024-02-06,1.0,1.0,1,0,2,6,0.0,5.0,1.8571428571428572,1.2857142857142858,Bannerghata Road
Bannerghata Road,2024-02-07,2.0,2.0,2,0,2,7,1.0,2.0,2.0,1.2857142857142858,Bannerghata Road
Bannerghata Road,2024-02-08,1.0,1.0,3,0,2,8,2.0,1.0,1.8571428571428572,1.3571428571428572,Bannerghata Road
Bannerghata Road,2024-02-09,1.0,1.0,4,0,2,9,1.0,0.0,1.8571428571428572,1.5,Bannerghata Road
Bannerghata Road,2024-02-10,1.0,1.0,5,1,2,10,1.0,0.0,1.7142857142857142,1.5714285714285714,Bannerghata Road
Bannerghata Road,2024-02-11,0.0,0.0,6,1,2,11,1.0,0.0,1.7142857142857142,1.5714285714285714,Bannerghata Road
Bannerghata Road,2024-02-12,2.0,2.0,0,0,2,12,0.0,0.0,1.5714285714285714,1.5714285714285714,Bannerghata Road
Bannerghata Road,2024-02-13,1.0,1.0,1,0,2,13,2.0,1.0,1.8571428571428572,1.8571428571428572,Bannerghata Road
Bannerghata Road,2024-02-14,2.0,2.0,2,0,2,14,1.0,2.0,2.0,2.0,Bannerghata Road
Bannerghata Road,2024-02-15,0.0,0.0,3,0,2,15,2.0,1.0,2.5714285714285716,2.2142857142857144,Bannerghata Road
Bannerghata Road,2024-02-16,0.0,0.0,4,0,2,16,0.0,1.0,2.7142857142857144,2.2857142857142856,Bannerghata Road
Bannerghata Road,2024-02-17,1.0,1.0,5,1,2,17,0.0,1.0,3.142857142857143,2.4285714285714284,Bannerghata Road
Bannerghata Road,2024-02-18,1.0,1.0,6,1,2,18,1.0,0.0,3.4285714285714284,2.5714285714285716,Bannerghata Road
Bannerghata Road,2024-02-19,0.0,0.0,0,0,2,19,1.0,2.0,3.4285714285714284,2.5,Bannerghata Road
Bannerghata Road,2024-02-20,2.0,2.0,1,0,2,20,0.0,1.0,2.857142857142857,2.357142857142857,Bannerghata Road
Bannerghata Road,2024-02-21,2.0,2.0,2,0,2,21,2.0,2.0,2.7142857142857144,2.357142857142857,Bannerghata Road
Bannerghata Road,2024-02-22,1.0,1.0,3,0,2,22,2.0,0.0,2.2857142857142856,2.4285714285714284,Bannerghata Road
Bannerghata Road,2024-02-23,3.0,3.0,4,0,2,23,1.0,0.0,2.2857142857142856,2.5,Bannerghata Road
Bannerghata Road,2024-02-24,0.0,0.0,5,1,2,24,3.0,1.0,2.142857142857143,2.642857142857143,Bannerghata Road
Bannerghata Road,2024-02-25,3.0,3.0,6,1,2,25,0.0,1.0,2.142857142857143,2.7857142857142856,Bannerghata Road
Bannerghata Road,2024-02-26,1.0,1.0,0,0,2,26,3.0,0.0,2.142857142857143,2.7857142857142856,Bannerghata Road
Bannerghata Road,2024-02-27,0.0,0.0,1,0,2,27,1.0,2.0,2.2857142857142856,2.5714285714285716,Bannerghata Road
Bannerghata Road,2024-02-28,2.0,2.0,2,0,2,28,0.0,2.0,2.142857142857143,2.4285714285714284,Bannerghata Road
Bannerghata Road,2024-02-29,3.0,2.0,3,0,2,29,2.0,1.0,2.2857142857142856,2.2857142857142856,Bannerghata Road
Bannerghata Road,2024-03-01,1.0,1.0,4,0,3,1,3.0,3.0,2.0,2.142857142857143,Bannerghata Road
Bannerghata Road,2024-03-02,0.0,0.0,5,1,3,2,1.0,0.0,1.8571428571428572,2.0,Bannerghata Road
Bannerghata Road,2024-03-03,0.0,0.0,6,1,3,3,0.0,3.0,2.2857142857142856,2.2142857142857144,Bannerghata Road
Bannerghata Road,2024-03-04,0.0,0.0,0,0,3,4,0.0,1.0,2.2857142857142856,2.2142857142857144,Bannerghata Road
Bannerghata Road,2024-03-05,0.0,0.0,1,0,3,5,0.0,0.0,2.142857142857143,2.2142857142857144,Bannerghata Road
Bannerghata Road,2024-03-06,0.0,0.0,2,0,3,6,0.0,2.0,2.5714285714285716,2.357142857142857,Bannerghata Road
Bannerghata Road,2024-03-07,11.0,10.0,3,0,3,7,0.0,3.0,2.4285714285714284,2.357142857142857,Bannerghata Road
Bannerghata Road,2024-03-08,0.0,0.0,4,0,3,8,11.0,1.0,3.7142857142857144,2.857142857142857,Bannerghata Road
Bannerghata Road,2024-03-09,6.0,6.0,5,1,3,9,0.0,0.0,3.857142857142857,2.857142857142857,Bannerghata Road
Bannerghata Road,2024-03-10,0.0,0.0,6,1,3,10,6.0,0.0,3.5714285714285716,2.9285714285714284,Bannerghata Road
Bannerghata Road,2024-03-11,3.0,2.0,0,0,3,11,0.0,0.0,3.5714285714285716,2.9285714285714284,Bannerghata Road
Bannerghata Road,2024-03-12,0.0,0.0,1,0,3,12,3.0,0.0,3.5714285714285716,2.857142857142857,Bannerghata Road
Bannerghata Road,2024-03-13,1.0,1.0,2,0,3,13,0.0,0.0,3.7142857142857144,3.142857142857143,Bannerghata Road
Bannerghata Road,2024-03-14,1.0,1.0,3,0,3,14,1.0,11.0,4.0,3.2142857142857144,Bannerghata Road
Bannerghata Road,2024-03-15,1.0,1.0,4,0,3,15,1.0,0.0,2.857142857142857,3.2857142857142856,Bannerghata Road
Bannerghata Road,2024-03-16,3.0,3.0,5,1,3,16,1.0,6.0,3.0,3.4285714285714284,Bannerghata Road
Bannerghata Road,2024-03-17,0.0,0.0,6,1,3,17,3.0,0.0,2.857142857142857,3.2142857142857144,Bannerghata Road
Bannerghata Road,2024-03-18,3.0,3.0,0,0,3,18,0.0,3.0,2.857142857142857,3.2142857142857144,Bannerghata Road
Bannerghata Road,2024-03-19,2.0,2.0,1,0,3,19,3.0,0.0,3.0,3.2857142857142856,Bannerghata Road
Bannerghata Road,2024-03-20,1.0,1.0,2,0,3,20,2.0,1.0,2.5714285714285716,3.142857142857143,Bannerghata Road
Bannerghata Road,2024-03-21,1.0,1.0,3,0,3,21,1.0,1.0,2.4285714285714284,3.2142857142857144,Bannerghata Road
Bannerghata Road,2024-03-22,0.0,0.0,4,0,3,22,1.0,1.0,2.4285714285714284,2.642857142857143,Bannerghata Road
Bannerghata Road,2024-03-23,1.0,1.0,5,1,3,23,0.0,3.0,1.8571428571428572,2.4285714285714284,Bannerghata Road
Bannerghata Road,2024-03-24,2.0,2.0,6,1,3,24,1.0,0.0,1.5714285714285714,2.2142857142857144,Bannerghata Road
Bannerghata Road,2024-03-25,1.0,1.0,0,0,3,25,2.0,3.0,1.8571428571428572,2.357142857142857,Bannerghata Road
Bannerghata Road,2024-03-26,0.0,0.0,1,0,3,26,1.0,2.0,1.7142857142857142,2.357142857142857,Bannerghata Road
Bannerghata Road,2024-03-27,0.0,0.0,2,0,3,27,0.0,1.0,1.7142857142857142,2.142857142857143,Bannerghata Road
Bannerghata Road,2024-03-28,0.0,0.0,3,0,3,28,0.0,1.0,2.142857142857143,2.2857142857142856,Bannerghata Road
Bannerghata Road,2024-03-29,7.0,7.0,4,0,3,29,0.0,0.0,2.2857142857142856,2.357142857142857,Bannerghata Road
Bannerghata Road,2024-03-30,0.0,0.0,5,1,3,30,7.0,1.0,3.5714285714285716,2.7142857142857144,Bannerghata Road
Bannerghata Road,2024-03-31,0.0,0.0,6,1,3,31,0.0,2.0,4.0,2.7857142857142856,Bannerghata Road
Bannerghata Road,2024-04-01,0.0,0.0,0,0,4,1,0.0,1.0,3.7142857142857144,2.7857142857142856,Bannerghata Road
Bannerghata Road,2024-04-02,5.0,5.0,1,0,4,2,0.0,0.0,3.857142857142857,2.7857142857142856,Bannerghata Road
Bannerghata Road,2024-04-03,2.0,2.0,2,0,4,3,5.0,0.0,3.4285714285714284,2.5714285714285716,Bannerghata Road
Bannerghata Road,2024-04-04,0.0,0.0,3,0,4,4,2.0,0.0,2.857142857142857,2.5,Bannerghata Road
Bannerghata Road,2024-04-05,16.0,15.0,4,0,4,5,0.0,7.0,2.4285714285714284,2.357142857142857,Bannerghata Road
Bannerghata Road,2024-04-06,4.0,3.0,5,1,4,6,16.0,0.0,1.4285714285714286,2.5,Bannerghata Road
Bannerghata Road,2024-04-07,0.0,0.0,6,1,4,7,4.0,0.0,1.2857142857142858,2.642857142857143,Bannerghata Road
Bannerghata Road,2024-04-08,0.0,0.0,0,0,4,8,0.0,0.0,1.5714285714285714,2.642857142857143,Bannerghata Road
Bellary Road 1,2023-11-23,7.0,7.0,3,0,11,23,4.0,0.0,2.5714285714285716,2.357142857142857,Bellary Road 1
Bellary Road 1,2023-11-24,6.0,6.0,4,0,11,24,7.0,5.0,2.142857142857143,2.5,Bellary Road 1
Bellary Road 1,2023-11-25,4.0,4.0,5,1,11,25,6.0,7.0,2.0,2.5,Bellary Road 1
Bellary Road 1,2023-11-26,3.0,2.0,6,1,11,26,4.0,11.0,2.4285714285714284,2.5,Bellary Road 1
Bellary Road 1,2023-11-27,9.0,8.0,0,0,11,27,3.0,4.0,2.7142857142857144,2.7142857142857144,Bellary Road 1
Bellary Road 1,2023-11-28,7.0,7.0,1,0,11,28,9.0,2.0,2.7142857142857144,2.642857142857143,Bellary Road 1
Bellary Road 1,2023-11-29,3.0,3.0,2,0,11,29,7.0,4.0,2.4285714285714284,2.5,Bellary Road 1
Bellary Road 1,2023-11-30,8.0,7.0,3,0,11,30,3.0,7.0,2.142857142857143,2.357142857142857,Bellary Road 1
Bellary Road 1,2023-12-01,1.0,1.0,4,0,12,1,8.0,6.0,2.857142857142857,2.5,Bellary Road 1
Bellary Road 1,2023-12-02,8.0,7.0,5,1,12,2,1.0,4.0,3.0,2.5,Bellary Road 1
Bellary Road 1,2023-12-03,4.0,3.0,6,1,12,3,8.0,3.0,3.142857142857143,2.7857142857142856,Bellary Road 1
Bellary Road 1,2023-12-04,1.0,1.0,0,0,12,4,4.0,9.0,2.5714285714285716,2.642857142857143,Bellary Road 1
Bellary Road 1,2023-12-05,6.0,6.0,1,0,12,5,1.0,7.0,3.142857142857143,2.9285714285714284,Bellary Road 1
Bellary Road 1,2023-12-06,6.0,5.0,2,0,12,6,6.0,3.0,3.0,2.7142857142857144,Bellary Road 1
Bellary Road 1,2023-12-07,10.0,7.0,3,0,12,7,6.0,8.0,3.7142857142857144,2.9285714285714284,Bellary Road 1
Bellary Road 1,2023-12-08,10.0,10.0,4,0,12,8,10.0,1.0,2.7142857142857144,2.7857142857142856,Bellary Road 1
Bellary Road 1,2023-12-09,1.0,1.0,5,1,12,9,10.0,8.0,4.0,3.5,Bellary Road 1
Bellary Road 1,2023-12-10,2.0,2.0,6,1,12,10,1.0,4.0,3.5714285714285716,3.357142857142857,Bellary Road 1
Bellary Road 1,2023-12-11,2.0,2.0,0,0,12,11,2.0,1.0,3.7142857142857144,3.142857142857143,Bellary Road 1
Bellary Road 1,2023-12-12,6.0,6.0,1,0,12,12,2.0,6.0,2.857142857142857,3.0,Bellary Road 1
Bellary Road 1,2023-12-13,3.0,1.0,2,0,12,13,6.0,6.0,3.142857142857143,3.0714285714285716,Bellary Road 1
Bellary Road 1,2023-12-14,4.0,4.0,3,0,12,14,3.0,10.0,3.0,3.357142857142857,Bellary Road 1
Bellary Road 1,2023-12-15,5.0,5.0,4,0,12,15,4.0,10.0,3.2857142857142856,3.0,Bellary Road 1
Bellary Road 1,2023-12-16,4.0,3.0,5,1,12,16,5.0,1.0,1.8571428571428572,2.9285714285714284,Bellary Road 1
Bellary Road 1,2023-12-17,1.0,1.0,6,1,12,17,4.0,2.0,2.857142857142857,3.2142857142857144,Bellary Road 1
Bellary Road 1,2023-12-18,4.0,4.0,0,0,12,18,1.0,2.0,3.4285714285714284,3.5714285714285716,Bellary Road 1
Bellary Road 1,2023-12-19,2.0,2.0,1,0,12,19,4.0,6.0,4.0,3.4285714285714284,Bellary Road 1
Bellary Road 1,2023-12-20,0.0,0.0,2,0,12,20,2.0,3.0,4.428571428571429,3.7857142857142856,Bellary Road 1
Bellary Road 1,2023-12-21,8.0,8.0,3,0,12,21,0.0,4.0,4.142857142857143,3.5714285714285716,Bellary Road 1
Bellary Road 1,2023-12-22,5.0,4.0,4,0,12,22,8.0,5.0,3.857142857142857,3.5714285714285716,Bellary Road 1
Bellary Road 1,2023-12-23,4.0,4.0,5,1,12,23,5.0,4.0,4.142857142857143,3.0,Bellary Road 1
Bellary Road 1,2023-12-24,6.0,6.0,6,1,12,24,4.0,1.0,3.142857142857143,3.0,Bellary Road 1
Bellary Road 1,2023-12-25,3.0,2.0,0,0,12,25,6.0,4.0,3.0,3.2142857142857144,Bellary Road 1
Bellary Road 1,2023-12-26,8.0,8.0,1,0,12,26,3.0,2.0,3.2857142857142856,3.642857142857143,Bellary Road 1
Bellary Road 1,2023-12-27,5.0,4.0,2,0,12,27,8.0,0.0,3.0,3.7142857142857144,Bellary Road 1
Bellary Road 1,2023-12-28,3.0,3.0,3,0,12,28,5.0,8.0,2.7142857142857144,3.4285714285714284,Bellary Road 1
Bellary Road 1,2023-12-29,7.0,7.0,4,0,12,29,3.0,5.0,3.0,3.4285714285714284,Bellary Road 1
Bellary Road 1,2023-12-30,3.0,3.0,5,1,12,30,7.0,4.0,3.0,3.5714285714285716,Bellary Road 1
Bellary Road 1,2023-12-31,5.0,3.0,6,1,12,31,3.0,6.0,4.0,3.5714285714285716,Bellary Road 1
Bellary Road 1,2024-01-01,4.0,4.0,0,0,1,1,5.0,3.0,3.7142857142857144,3.357142857142857,Bellary Road 1
Bellary Road 1,2024-01-02,3.0,3.0,1,0,1,2,4.0,8.0,3.142857142857143,3.2142857142857144,Bellary Road 1
Bellary Road 1,2024-01-03,0.0,0.0,2,0,1,3,3.0,5.0,3.0,3.0,Bellary Road 1
Bellary Road 1,2024-01-04,1.0,1.0,3,0,1,4,0.0,3.0,3.857142857142857,3.2857142857142856,Bellary Road 1
Bellary Road 1,2024-01-05,5.0,5.0,4,0,1,5,1.0,7.0,3.5714285714285716,3.2857142857142856,Bellary Road 1
Bellary Road 1,2024-01-06,3.0,3.0,5,1,1,6,5.0,3.0,3.4285714285714284,3.2142857142857144,Bellary Road 1
Bellary Road 1,2024-01-07,8.0,8.0,6,1,1,7,3.0,5.0,3.0,3.5,Bellary Road 1
Bellary Road 1,2024-01-08,1.0,1.0,0,0,1,8,8.0,4.0,3.4285714285714284,3.5714285714285716,Bellary Road 1
Bellary Road 1,2024-01-09,4.0,3.0,1,0,1,9,1.0,3.0,3.142857142857143,3.142857142857143,Bellary Road 1
Bellary Road 1,2024-01-10,3.0,3.0,2,0,1,10,4.0,0.0,3.0,3.0,Bellary Road 1
Bellary Road 1,2024-01-11,3.0,3.0,3,0,1,11,3.0,1.0,3.0,3.4285714285714284,Bellary Road 1
Bellary Road 1,2024-01-12,9.0,8.0,4,0,1,12,3.0,5.0,3.142857142857143,3.357142857142857,Bellary Road 1
Bellary Road 1,2024-01-13,5.0,5.0,5,1,1,13,9.0,3.0,3.7142857142857144,3.5714285714285716,Bellary Road 1
Bellary Road 1,2024-01-14,8.0,8.0,6,1,1,14,5.0,8.0,3.0,3.0,Bellary Road 1
Bellary Road 1,2024-01-15,6.0,6.0,0,0,1,15,8.0,1.0,3.142857142857143,3.2857142857142856,Bellary Road 1
Bellary Road 1,2024-01-16,1.0,1.0,1,0,1,16,6.0,4.0,3.2857142857142856,3.2142857142857144,Bellary Road 1
Bellary Road 1,2024-01-17,0.0,0.0,2,0,1,17,1.0,3.0,4.285714285714286,3.642857142857143,Bellary Road 1
Bellary Road 1,2024-01-18,7.0,7.0,3,0,1,18,0.0,3.0,3.4285714285714284,3.2142857142857144,Bellary Road 1
Bellary Road 1,2024-01-19,5.0,5.0,4,0,1,19,7.0,9.0,3.2857142857142856,3.2142857142857144,Bellary Road 1
Bellary Road 1,2024-01-20,4.0,4.0,5,1,1,20,5.0,5.0,2.7142857142857144,3.2142857142857144,Bellary Road 1
Bellary Road 1,2024-01-21,0.0,0.0,6,1,1,21,4.0,8.0,2.5714285714285716,2.7857142857142856,Bellary Road 1
Bellary Road 1,2024-01-22,2.0,2.0,0,0,1,22,0.0,6.0,2.142857142857143,2.642857142857143,Bellary Road 1
Bellary Road 1,2024-01-23,3.0,3.0,1,0,1,23,2.0,1.0,2.2857142857142856,2.7857142857142856,Bellary Road 1
Bellary Road 1,2024-01-24,10.0,9.0,2,0,1,24,3.0,0.0,1.7142857142857142,3.0,Bellary Road 1
Bellary Road 1,2024-01-25,5.0,5.0,3,0,1,25,10.0,7.0,3.2857142857142856,3.357142857142857,Bellary Road 1
Bellary Road 1,2024-01-26,1.0,1.0,4,0,1,26,5.0,5.0,5.428571428571429,4.357142857142857,Bellary Road 1
Bellary Road 1,2024-01-27,1.0,1.0,5,1,1,27,1.0,4.0,5.142857142857143,3.9285714285714284,Bellary Road 1
Bellary Road 1,2024-01-28,3.0,3.0,6,1,1,28,1.0,0.0,5.142857142857143,3.857142857142857,Bellary Road 1
Bellary Road 1,2024-01-29,0.0,0.0,0,0,1,29,3.0,2.0,4.714285714285714,3.4285714285714284,Bellary Road 1
Bellary Road 1,2024-01-30,3.0,3.0,1,0,1,30,0.0,3.0,4.714285714285714,3.5,Bellary Road 1
Bellary Road 1,2024-01-31,2.0,2.0,2,0,1,31,3.0,10.0,4.142857142857143,2.9285714285714284,Bellary Road 1
Bellary Road 1,2024-02-01,3.0,3.0,3,0,2,1,2.0,5.0,2.7142857142857144,3.0,Bellary Road 1
Bellary Road 1,2024-02-02,9.0,7.0,4,0,2,2,3.0,1.0,1.5714285714285714,3.5,Bellary Road 1
Bellary Road 1,2024-02-03,4.0,3.0,5,1,2,3,9.0,1.0,1.8571428571428572,3.5,Bellary Road 1
Bellary Road 1,2024-02-04,1.0,1.0,6,1,2,4,4.0,3.0,2.5714285714285716,3.857142857142857,Bellary Road 1
Bellary Road 1,2024-02-05,3.0,3.0,0,0,2,5,1.0,0.0,2.5714285714285716,3.642857142857143,Bellary Road 1
Bellary Road 1,2024-02-06,2.0,2.0,1,0,2,6,3.0,3.0,2.857142857142857,3.7857142857142856,Bellary Road 1
